title,description,pubdate,author,kewords,challenge,task,phase,resourceType,county,link
Morro Bay National Estuary Program Climate Vulnerability Assessment Report,Analysis of the likelihood and severity of climate change including sea level rise.  Specifically focused on the goals of the Estuary Program.  Provides adaptation action options to prepare.,2015,"Morro Bay National Estuary Program, EPA Climate Ready Estuaries Program","Watershed, estuary, biodiversity, likelihood, adaptation actions","3,1",4,"1,2","1,8",3,http://www.mbnep.org/wp-content/uploads/2016/11/Climate_Report_FINAL_11-30-2016_for-web.pdf
Santa Barbara County 2016 Multi-Jurisdictional Hazard Mitigation Plan,"FEMA approved Multi-Jurisdictional Hazard Mitigation Plan which includes climate change considerations.  Sea level rise is included in Sections 5, 6 and 7",2016,County of Santa Barbara,"FEMA, integrated assessment, hazard mitigation","8,9",2,"1,2","1,6",4,https://www.countyofsb.org/ceo/oem/2016HMP.sbc
Santa Cruz County Climate Action Strategy,"Vulnerability assessment looks at many different impacts of climate change, but focuses on sea level rise.  Report primarily lists the county assets that will be exposed to future threats.",2013,County of Santa Cruz,"Vulnerability, exposure","3,6",7,"1,2","1,6",1,http://www.sccoplanning.com/Portals/2/County/Planning/policy/Climate%20Action%20Strategy/Climate%20Action%20Strategy.pdf?ver=2013-09-19-144013-903
Restoring Surfers' Point: Partnership's Persistence Pays Off,"After ten years of striving for consensus, the Surfer's Point working group opted to retreat from the sea and use a soft solution to restore the natural habitat.  As of 2014, the beach at Surfers' Point has a 70-foot wide buffer zone and a significant sediment reservoir.",2017,Surfers' Point working group,"Restoration, beaches, physical projects, retreat, erosion","7,9,14",10,"1,2",2,5,https://toolkit.climate.gov/case-studies/restoring-surfers-point-partnerships-persistence-pays
Coastal Resilience Project - Monterey Bay,Decision-support network (including website) which includes short write ups about the challenges and suggested solutions for participating communities.  Also provides tools and information about coastal resilience.,2016,The Nature Conservancy,"natural infrastructure, solutions to key challenges, economic analysis",3,9,"1,2",4,2,http://coastalresilience.org/project/monterey-bay/
Coastal Resilience Project - Santa Barbara,Decision-support network (including website) which includes short write ups about the challenges and suggested solutions for participating communities.  Also provides tools and information about coastal resilience.,2016,The Nature Conservancy,"natural infrastructure, solutions to key challenges, economic analysis",3,9,6,4,4,http://coastalresilience.org/project/santa-barbara-county/
Integrated Climate Change Adaptation Planning in San Luis Obispo County,A suite of sector specific adaptation strategies.  List is based the efforts of local leaders through a series of workshops held in 2009 - 2010.,2010,"GEOS Institute, Local Government Commission","Sectoral approach, stakeholder input, adaptation strategies, human and natural communities","1,6",7,"1,2",1,3,http://www.lgc.org/wordpress/docs/adaptation/slo/SLOClimateWiseFinal.pdf
Sea Level Rise Projections for Santa Cruz Hazard Mitigation Plan - Coastal Wetlands Group,An overview of the different sea level rise adaptation efforts that relate to or impact wetlands in the central coast.,2014,Central Coast Wetlands Group,"Project summaries, overview, wetlands",13,9,6,11,1,https://ccwg.mlml.calstate.edu/climate-change
The City of Santa Barbara Sea Level Rise Vulnerability Assessment - Brief Summary,Brief summary of the key points from the full vulnerability assessment.,2015,City of Santa Barbara,"Exposure, modeling, sensitivity, storms, erosion, adaptive capacity",13,9,6,4,4,http://www.esm.ucsb.edu/research/2015Group_Projects/documents/SeaLevelRiseSB_Brief.pdf
Ventura County Sea-Level Rise Adaptation Project,A website providing summary information on the counties intended plan to draft regulatory and adaptive strategies in response to sea-level rise hazards.,2013,County of Ventura,"Resilience, CoSMos model, coastal zoning",1,3,6,11,5,http://vcrma.org/planning/ordinances/sea-level-rise-adaptation.html
Coastal Resilience Ventura Catalogue and Analysis of Local Sea-Level Rise Planning Tools,A close look at the different decisions required to move sea level rise planning forward especially in the context of integrating into existing local planning efforts.,2013,The Nature Conservancy,"Integration with planning, decision making",3,1,2,7,5,https://www.conservationgateway.org/ConservationPractices/Marine/crr/library/Documents/Coastal%20Resilience%20Ventura%20Catalogue%20and%20Analysis%20of%20Local%20Sea%20Level%20Rise%20Planning%20Tools_%20The%20Planning%20Center_%202013.pdf
"Economic Analysis of Nature-based Adaptation to Climate Change, Ventura County, California","Report provides a model cost benefit analysis to compare engineered solutions to nature based solutions for sea level rise.  Using Ventura County as an example, the report finds that under certain conditions, the natural solution produces greater net benefits than the engineered solution.",2015,The Nature Conservancy,"Cost benefit analysis, natural solutions,",7,7,2,"1,8",5,https://www.conservationgateway.org/ConservationPractices/Marine/crr/library/Documents/FINAL_CRV NBA Econ Final Report March 2015 with appendices.pdf
Economic Impacts of Climate Adaptation Strategies for Southern Monterey Bay,Rigorous cost benefit analysis that compairs various climate adaptation strategies.,2016,California State Coastal Conservancy,"Cost benefit analysis, natural solutions, stakeholder input, adaptation strategies","7,3","4,3",2,1,2,http://www.slc.ca.gov/Info/AB691/2016_TNC_EconomicImpactsAdaptationSMontereyBay.pdf
